%	Date:	2016-12-09	Time:	15:22:21
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
4.9770E+3	6.6391E-3	2.4171E+0	-8.9669E+1	-1.0641E+2	-9.0064E+1	-1.0283E+2	-1.0726E+2
5.3367E+3	1.0388E-2	2.2152E+0	-9.6407E+1	-1.1319E+2	-9.7576E+1	-1.0308E+2	NaN
5.7224E+3	1.3512E-2	2.0234E+0	-9.7740E+1	-1.0551E+2	-1.0052E+2	-1.0288E+2	NaN
6.1359E+3	1.6347E-2	1.8413E+0	-9.4055E+1	-9.6265E+1	-1.0090E+2	-1.0122E+2	NaN
6.5793E+3	1.8822E-2	1.6682E+0	-9.6403E+1	-1.0023E+2	-9.8730E+1	NaN	NaN
7.0548E+3	2.1139E-2	1.5033E+0	-8.9505E+1	-9.9848E+1	-8.9927E+1	NaN	NaN
7.5646E+3	2.3116E-2	1.3443E+0	-9.0541E+1	-9.6504E+1	-9.1810E+1	NaN	NaN
8.1113E+3	2.4840E-2	1.1918E+0	-9.3070E+1	-9.6090E+1	-9.6071E+1	NaN	NaN
8.6975E+3	2.6530E-2	1.0460E+0	-1.1177E+2	-1.1177E+2	NaN	NaN	NaN
9.3260E+3	2.7890E-2	9.0484E-1	-1.1155E+2	-1.1155E+2	NaN	NaN	NaN
1.0000E+4	2.9330E-2	7.6715E-1	-1.0495E+2	-1.0495E+2	NaN	NaN	NaN
