Freq.	V(Gain2.62)	V(Gain5.24)	V(Gain10.48)	V(20.96)	V(-2.62)	V(-5.24)	V(-10.48)
2.95120922666638e+000	(2.73132153685790e+000dB,1.79530863135961e+002°)	(5.42926651314829e+000dB,1.78913865421978e+002°)	(1.04087384574195e+001dB,1.77958983997761e+002°)	(2.05547135704124e+001dB,1.75750196323504e+002°)	(-2.73135727836270e+000dB,-1.79530932382442e+002°)	(-5.42930494508753e+000dB,-1.78913938655209e+002°)	(-1.04087876382987e+001dB,-1.77959073032628e+002°)
3.01995172040201e+000	(2.73117731097888e+000dB,1.79519985580890e+002°)	(5.42891224867975e+000dB,1.78888693622746e+002°)	(1.04080813712697e+001dB,1.77911676983008e+002°)	(2.05531716597816e+001dB,1.75651847234632e+002°)	(-2.73121305299282e+000dB,-1.79520056440136e+002°)	(-5.42895068301393e+000dB,-1.78888768560789e+002°)	(-1.04081305621583e+001dB,-1.77911768087291e+002°)
3.09029543251359e+000	(2.73102632822728e+000dB,1.79508858219071e+002°)	(5.42854139530051e+000dB,1.78862944574966e+002°)	(1.04073935131597e+001dB,1.77863284729483e+002°)	(2.05515577274668e+001dB,1.75551252864822e+002°)	(-2.73106207077418e+000dB,-1.79508930728636e+002°)	(-5.42857983214154e+000dB,-1.78863021257459e+002°)	(-1.04074427145249e+001dB,-1.77863377951068e+002°)
3.16227766016837e+000	(2.73086827402843e+000dB,1.79497475484810e+002°)	(5.42815318147032e+000dB,1.78836605476876e+002°)	(1.04066734516116e+001dB,1.77813783142451e+002°)	(2.05498684409899e+001dB,1.75448364134698e+002°)	(-2.73090401713321e+000dB,-1.79497549683119e+002°)	(-5.42819162093528e+000dB,-1.78836683944375e+002°)	(-1.04067226639423e+001dB,-1.77813878530315e+002°)
3.23593656929628e+000	(2.73070281935237e+000dB,1.79485831700641e+002°)	(5.42774680026971e+000dB,1.78809663273962e+002°)	(1.04059196894785e+001dB,1.77763147649455e+002°)	(2.05481003166989e+001dB,1.75343131047298e+002°)	(-2.73073856304113e+000dB,-1.79485907627015e+002°)	(-5.42778524248109e+000dB,-1.78809743567964e+002°)	(-1.04059689132859e+001dB,-1.77763245253693e+002°)
3.31131121482591e+000	(2.73052962006795e+000dB,1.79473921075979e+002°)	(5.42732140782621e+000dB,1.78782104656244e+002°)	(1.04051306610196e+001dB,1.77711353195018e+002°)	(2.05462497131980e+001dB,1.75235502682263e+002°)	(-2.73056536436798e+000dB,-1.79473998770652e+002°)	(-5.42735985291217e+000dB,-1.78782186819205e+002°)	(-1.04051798968387e+001dB,-1.77711453066866e+002°)
3.38844156139202e+000	(2.73034831626968e+000dB,1.79461737705821e+002°)	(5.42687612167513e+000dB,1.78753916055718e+002°)	(1.04043047288554e+001dB,1.77658374235634e+002°)	(2.05443128245209e+001dB,1.75125427190958e+002°)	(-2.73038406120954e+000dB,-1.79461817209966e+002°)	(-5.42691456976974e+000dB,-1.78754000131077e+002°)	(-1.04043539772456e+001dB,-1.77658476427494e+002°)
3.46736850452531e+000	(2.73015853157668e+000dB,1.79449275569512e+002°)	(5.42641001905283e+000dB,1.78725083643966e+002°)	(1.04034401807952e+001dB,1.77604184735057e+002°)	(2.05422856730389e+001dB,1.75012851792580e+002°)	(-2.73019427718627e+000dB,-1.79449356925256e+002°)	(-5.42644847029636e+000dB,-1.78725169676168e+002°)	(-1.04034894423419e+001dB,-1.77604289300522e+002°)
3.54813389233575e+000	(2.72995987240245e+000dB,1.79436528529576e+002°)	(5.42592213512007e+000dB,1.78695593329969e+002°)	(1.04025352265356e+001dB,1.77548758159945e+002°)	(2.05401641020959e+001dB,1.74897722771370e+002°)	(-2.72999561871302e+000dB,-1.79436611780028e+002°)	(-5.42596058965924e+000dB,-1.78695681364487e+002°)	(-1.04025845018511e+001dB,-1.77548865153826e+002°)
3.63078054770101e+000	(2.72975192719467e+000dB,1.79423490330626e+002°)	(5.42541146111319e+000dB,1.78665430758122e+002°)	(1.04015879942241e+001dB,1.77492067475885e+002°)	(2.05379437683643e+001dB,1.74779985475008e+002°)	(-2.72978767423894e+000dB,-1.79423575519898e+002°)	(-5.42544991910147e+000dB,-1.78665520841479e+002°)	(-1.04016372839488e+001dB,-1.77492176954234e+002°)
3.71535229097172e+000	(2.72953426564392e+000dB,1.79410154598367e+002°)	(5.42487694242078e+000dB,1.78634581306490e+002°)	(1.04005965268839e+001dB,1.77434085143843e+002°)	(2.05356201339139e+001dB,1.74659584314321e+002°)	(-2.72957001345611e+000dB,-1.79410241771596e+002°)	(-5.42491540401872e+000dB,-1.78634673486286e+002°)	(-1.04006458316873e+001dB,-1.77434197163982e+002°)
3.80189396320560e+000	(2.72930643786036e+000dB,1.79396514838683e+002°)	(5.42431747658355e+000dB,1.78603030085320e+002°)	(1.03995587786949e+001dB,1.77374783117080e+002°)	(2.05331884579872e+001dB,1.74536462764400e+002°)	(-2.72934218647627e+000dB,-1.79396604042056e+002°)	(-5.42435594195904e+000dB,-1.78603124410255e+002°)	(-1.03996080992773e+001dB,-1.77374897737629e+002°)
3.89045144994280e+000	(2.72906797351733e+000dB,1.79382564436838e+002°)	(5.42373191121489e+000dB,1.78570761935846e+002°)	(1.03984726111275e+001dB,1.77314132838593e+002°)	(2.05306437884746e+001dB,1.74410563367253e+002°)	(-2.72910372297441e+000dB,-1.79382655717616e+002°)	(-5.42377038054356e+000dB,-1.78570858455745e+002°)	(-1.03985219482214e+001dB,-1.77314250119496e+002°)
3.98107170553496e+000	(2.72881838096073e+000dB,1.79368296656792e+002°)	(5.42311904184010e+000dB,1.78537761429393e+002°)	(1.03973357889245e+001dB,1.77252105239112e+002°)	(2.05279809530832e+001dB,1.74281827736128e+002°)	(-2.72885413129817e+000dB,-1.79368390063335e+002°)	(-5.42315751530559e+000dB,-1.78537860195231e+002°)	(-1.03973851432956e+001dB,-1.77252225241664e+002°)
4.07380277804112e+000	(2.72855714628341e+000dB,1.79353704640642e+002°)	(5.42247760965152e+000dB,1.78504012866834e+002°)	(1.03961459759254e+001dB,1.77188670735722e+002°)	(2.05251945501933e+001dB,1.74150196561632e+002°)	(-2.72859289754217e+000dB,-1.79353800222434e+002°)	(-5.42251608744590e+000dB,-1.78504113930763e+002°)	(-1.03961953483745e+001dB,-1.77188793522598e+002°)
4.16869383470335e+000	(2.72828373236325e+000dB,1.79338781408204e+002°)	(5.42180629917774e+000dB,1.78469500278414e+002°)	(1.03949007307309e+001dB,1.77123799231157e+002°)	(2.05222789393965e+001dB,1.74015609619797e+002°)	(-2.72831948458619e+000dB,-1.79338879215880e+002°)	(-5.42184478150184e+000dB,-1.78469603693790e+002°)	(-1.03949501220951e+001dB,-1.77123924866443e+002°)
4.26579518801592e+000	(2.72799757786409e+000dB,1.79323519856753e+002°)	(5.42110373586427e+000dB,1.78434207423984e+002°)	(1.03935975022013e+001dB,1.77057460113842e+002°)	(2.05192282317120e+001dB,1.73878005782249e+002°)	(-2.72803333109606e+000dB,-1.79323619942126e+002°)	(-5.42114222292809e+000dB,-1.78434313245392e+002°)	(-1.03936469133559e+001dB,-1.77057588663063e+002°)
