Freq.	V(Gain2.62)	V(Gain5.24)	V(Gain10.48)	V(20.96)	V(-2.62)	V(-5.24)	V(-10.48)
2.23872113856834e+000	(2.61851405200700e+000dB,1.79643999343921e+002°)	(5.23671349440907e+000dB,1.79286473559110e+002°)	(1.04732504951699e+001dB,1.78540501866156e+002°)	(2.09402914503662e+001dB,1.76690212283328e+002°)	(-2.61854971718292e+000dB,-1.79644051778574e+002°)	(-5.23675206414240e+000dB,-1.79286602503507e+002°)	(-1.04732997566474e+001dB,-1.78540569937362e+002°)
2.29086765276777e+000	(2.61843678973250e+000dB,1.79635725629616e+002°)	(5.23656002402596e+000dB,1.79269889679781e+002°)	(1.04729285660226e+001dB,1.78506583544798e+002°)	(2.09393711703577e+001dB,1.76613411202495e+002°)	(-2.61847245519243e+000dB,-1.79635779285551e+002°)	(-5.23659861478441e+000dB,-1.79270021622919e+002°)	(-1.04729778331306e+001dB,-1.78506653199836e+002°)
2.34422881531992e+000	(2.61835589670097e+000dB,1.79627260523653e+002°)	(5.23639934086906e+000dB,1.79252922102226e+002°)	(1.04725915089666e+001dB,1.78471880713436e+002°)	(2.09384077468762e+001dB,1.76534842118731e+002°)	(-2.61839156245824e+000dB,-1.79627315429311e+002°)	(-5.23643795364101e+000dB,-1.79253057113613e+002°)	(-1.04726407819693e+001dB,-1.78471951989074e+002°)
2.39883291901949e+000	(2.61827120281074e+000dB,1.79618599662578e+002°)	(5.23623110694172e+000dB,1.79235562073557e+002°)	(1.04722386152932e+001dB,1.78436375493902e+002°)	(2.09373991685116e+001dB,1.76454465335884e+002°)	(-2.61830686887930e+000dB,-1.79618655847064e+002°)	(-5.23626974276185e+000dB,-1.79235700224300e+002°)	(-1.04722878944670e+001dB,-1.78436448427755e+002°)
2.45470891568503e+000	(2.61818253004060e+000dB,1.79609738588026e+002°)	(5.23605496850359e+000dB,1.79217800650132e+002°)	(1.04718691433015e+001dB,1.78400049619696e+002°)	(2.09363433311530e+001dB,1.76372240338159e+002°)	(-2.61821819643506e+000dB,-1.79609796081121e+002°)	(-5.23609362845508e+000dB,-1.79217942012964e+002°)	(-1.04719184289359e+001dB,-1.78400124250246e+002°)
2.51188643150958e+000	(2.61808969208593e+000dB,1.79600672744985e+002°)	(5.23587055534641e+000dB,1.79199628694036e+002°)	(1.04714823167827e+001dB,1.78362884428928e+002°)	(2.09352380338186e+001dB,1.76288125778373e+002°)	(-2.61812535882160e+000dB,-1.79600731577162e+002°)	(-5.23590924056323e+000dB,-1.79199773343359e+002°)	(-1.04715316091805e+001dB,-1.78362960795542e+002°)
2.57039578276886e+000	(2.61799249397848e+000dB,1.79591397480054e+002°)	(5.23567748003749e+000dB,1.79181036869552e+002°)	(1.04710773234364e+001dB,1.78324860857235e+002°)	(2.09340809743093e+001dB,1.76202079466456e+002°)	(-2.61802816107136e+000dB,-1.79591457682499e+002°)	(-5.23571619170670e+000dB,-1.79181184881471e+002°)	(-1.04711266229145e+001dB,-1.78324939000186e+002°)
2.63026799189538e+000	(2.61789073168927e+000dB,1.79581908039700e+002°)	(5.23547533712924e+000dB,1.79162015639622e+002°)	(1.04706533132168e+001dB,1.78285959430684e+002°)	(2.09328697446772e+001dB,1.76114058358220e+002°)	(-2.61792639915611e+000dB,-1.79581969644321e+002°)	(-5.23551407649349e+000dB,-1.79162167091982e+002°)	(-1.04707026201071e+001dB,-1.78286039391174e+002°)
2.69153480392691e+000	(2.61778419171378e+000dB,1.79572199568504e+002°)	(5.23526370233363e+000dB,1.79142555262290e+002°)	(1.04702093966054e+001dB,1.78246160258670e+002°)	(2.09316018265032e+001dB,1.76024018544443e+002°)	(-2.61781985957212e+000dB,-1.79572262607955e+002°)	(-5.23530247069377e+000dB,-1.79142710234716e+002°)	(-1.04702587112549e+001dB,-1.78246242078847e+002°)
2.75422870333816e+000	(2.61767265063884e+000dB,1.79562267107417e+002°)	(5.23504213165984e+000dB,1.79122645787151e+002°)	(1.04697446428066e+001dB,1.78205443026818e+002°)	(2.09302745859773e+001dB,1.75931915240323e+002°)	(-2.61770831890705e+000dB,-1.79562331615110e+002°)	(-5.23508093037760e+000dB,-1.79122804361085e+002°)	(-1.04697939655788e+001dB,-1.78205526749797e+002°)
