%	Date:	2016-12-19	Time:	16:27:38
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
6.3223E+3	-9.3813E+0	2.8343E-1	1.2361E-1	-5.8164E+1	-8.7044E+1	NaN	NaN
6.8268E+3	-9.3714E+0	2.2609E-1	1.2335E-1	-5.8179E+1	-9.1785E+1	NaN	NaN
7.3716E+3	-9.3621E+0	1.6307E-1	1.1836E-1	-5.8536E+1	-9.8052E+1	NaN	NaN
7.9599E+3	-9.3529E+0	9.0529E-2	1.1473E-1	-5.8812E+1	-8.7718E+1	NaN	NaN
8.5951E+3	-9.3451E+0	1.4658E-2	1.1436E-1	-5.8834E+1	NaN	NaN	NaN
9.2810E+3	-9.3371E+0	-7.0951E-2	1.1027E-1	-5.9151E+1	NaN	NaN	NaN
1.0022E+4	-9.3305E+0	-1.6265E-1	1.1136E-1	-5.9065E+1	NaN	NaN	NaN
1.0821E+4	-9.3240E+0	-2.5934E-1	1.0731E-1	-5.9387E+1	NaN	NaN	NaN
1.1685E+4	-9.3180E+0	-3.6022E-1	1.0540E-1	-5.9543E+1	NaN	NaN	NaN
1.2617E+4	-9.3117E+0	-4.6882E-1	NaN	NaN	NaN	NaN	NaN
1.3624E+4	-9.3070E+0	-5.8587E-1	NaN	NaN	NaN	NaN	NaN
1.4711E+4	-9.3018E+0	-7.0762E-1	NaN	NaN	NaN	NaN	NaN
1.5885E+4	-9.2971E+0	-8.3589E-1	NaN	NaN	NaN	NaN	NaN
1.7153E+4	-9.2934E+0	-9.7105E-1	NaN	NaN	NaN	NaN	NaN
1.8522E+4	-9.2889E+0	-1.1137E+0	NaN	NaN	NaN	NaN	NaN
2.0000E+4	-9.2848E+0	-1.2644E+0	NaN	NaN	NaN	NaN	NaN
